id,type,text,stance
44,background,【#交通局回应萝卜快跑抢网约车司机饭碗#：行业比较稳定，#萝卜快跑在武汉已投入400多辆车#】7月7日，自动驾驶出行服务平台“萝卜快跑”无人驾驶网约车在武汉街头与行人相撞，引发公众担忧。相关负责人回应称：“事故发生于武汉市汉阳区鹦鹉大道与国博大道交会路口，是车辆在绿灯亮起启动之际与一名闯 ​​​,none
44-2,comment1,闯红灯不也应该管管吗？,favor
44-2-4,comment2,所谓吃一堑，长一智，下次他就不闯了,favor
44-2-7,comment2,哈哈哈，武汉人有自己的交规，绿灯行，黄灯更行，红灯也不是不行,favor
44-2-7-1,comment3,确实，以前在武汉过斑马线都得小心翼翼的,favor
44-2-7-2,comment3,哈哈总结到位，任我行,favor
44-2-7-4,comment3,真的就是这样…………,favor
44-2-8,comment2,应该被撞,favor
44-2-9,comment2,爱闯红灯的辣鸡们就交给无人驾驶来治理吧,favor
44-2-10,comment2,武汉那交通环境全国最差。交通法也没用,favor
44-2-10-1,comment3,要不然革命也不能在武汉爆发就是个火爆的性格,none
44-2-11,comment2,可以智能驾驶汽车顺便拍照片视频给相关部门~人脸识别罚款帐单收到手软……,favor
44-2-12,comment2,钱没了，可以再挣。朋友没了，可以再交。爱情没了，可以再找。记住：你什么都不缺，你缺的是一份重新开始的勇气。,none
44-3,comment1,对不守交通规则，肆意闯红灯的人是个警示，无人驾驶汽车不会惯着你。,favor
44-3-1,comment2,车让人是基本交通规则，在这个时候萝卜快跑就不行了,against
44-3-2,comment2,不会，自动驾驶的反应比人灵敏，交通事故能较低不少。,favor
44-3-3,comment2,有钱的路怒症也不会惯着！直接撞就完事儿了～,favor
44-3-4,comment2,你淘汰倒计时，你离失业也远了。,against
44-3-5,comment2,挺像体验一下的，有些地方网约车出租车环境巨差，一股子臭味,favor
44-3-5-1,comment3,车内环境我还真不看好这玩意能做得比有人驾驶好  出租车网约车好歹有个大活人能制止乘客的不文明行为   以前开过共享汽车  那车内环境简直不堪入目   座椅上有烟灰烟头  有些还有快餐盒之类的垃圾有些甚至汤水油渍都洒座椅上了 这玩意能制止乘客上述举例的在车上抽烟乱丢垃圾等行为吗 大概率是不能的,against
44-3-6,comment2,我只说我经历的，我去泰国旅游，导游说的第一句就是，不要闯红灯，这边司机不会让你，而且你全责。,favor
44-3-7,comment2,就不该惯着他们，到了人工智能收拾那些不遵守规则的人的时候了！,favor
44-3-9,comment2,这明显AEB系统没起作用，或者反应慢了，并不是无人驾驶不会管闯红灯的,none
44-3-9-1,comment3,百度那个车传感器比正常车多多了，他能商用上路已经超过现在厂商太多了，而且出了事就是公司担责任的，这是目前市面没有一次主机厂车企敢干的吧？《出了事就是辅助驾驶》难防鬼探头,favor
44-3-9-1-1,comment4,但是鬼探头确实也是AEB需要起作用的场景，测试过不少智驾的车，这方面确实待改进,favor
44-3-10,comment2,其实在武汉的人都知道，他有个外号勺萝卜，他老远就礼让行人，变道变最老实的道，不是惯不惯着，是那个老婆婆，瞎搞，这个系统开放这么久这是第一起事故，坐过的人都知道他会有些慢，但是安全，并且非常遵守交规。,favor
44-3-10-1,comment3,你这么一说我竟然觉得这车拟人有点子可爱了……,favor
44-3-10-2,comment3,感谢科普，慢 守交规，我信了。,favor
44-3-10-2-1,comment4,真的是的，做了很多次萝卜了，速度比之前提升不少，刚开始运营的时候就三四十码，现在都五六十码了，而且遇到行人会主动避让，说实话在现在这个容易打到臭网约车的行情下，更愿意坐萝卜，干净、安全、便宜、智能，车内后座还有双屏幕真的蛮不错的,favor
44-3-10-2-1-1,comment5,我天，我在苏州打车打到手动挡啊，快报废的那些车。萝卜还是深受年轻人喜爱的。,favor
44-3-11,comment2,都想啥呢合格的无人驾驶就是人会踩刹车他也会踩，人没注意到的不会踩他也会踩反映可比人快多了。,favor
44-3-11-1,comment3,谁和你说的*,against
44-3-11-1-1,comment4,那谁和你说的？*,favor
44-3-11-2,comment3,这个我认可，而且科技比人精确，但现实中哪怕后台出现一点偏差损失可能就比人工控制大了,favor
44-3-11-2-1,comment4,这个都是同向类比的。就好比机器肯定有几率死机，人也肯定会有几率分神，或者犯心脏病。总的算下来机器肯定概率低。但是明知如此我还是更愿意相信人。,against
44-3-11-2-1-1,comment5,不知道它实时更新怎么样，比如遇到路段临时封闭施工会不会也那么精准。还有很多突发的避让环境，总体说来把控制权交给机器的不安全感,against
44-4,comment1,不论400辆还是1000辆，无人驾驶汽车对出租行业的影响显而易见。,against
44-4-1,comment2,以后人人都躺平，都不用干活了。看看老爷会不会对你们这么好,against
44-4-2,comment2,一个十几年都没有长进的行业，如果被无人驾驶淘汰了这特么的怪谁？,favor
44-4-4,comment2,真的挺好，不用因为路途近被拒载或者一路听司机骂骂咧咧了,favor
44-4-6,comment2,有啥影响啊？你可以继续开你出租车呀,favor
44-4-7,comment2,出租行业都是自己作的，有竞争挺好的，没了竞争他们会更胡来,favor
44-4-9,comment2,以后可能律师也要失业，机器人什么都能干,against
44-4-9-1,comment3,失业了好！失业了天天躺平！,against
44-4-10,comment2,没拒载了，也便宜了，为什么不多投放,favor
44-4-10-1,comment3,滴滴刚出的时候打车还免费呢，现在呢？你们这帮脑残真好骗啊,against
44-4-11,comment2,加油，干死那些拒载的,favor
44-4-13,comment2,很难铺设全中国的，萝卜快跑。,against
44-4-13-1,comment3,放开了自然而然的会有别的企业进入这个市场的,favor
44-4-13-1-1,comment4,我想做网约车，会不会太晚了？,none
44-4-13-1-1-2,comment5,本来网约车就不好做现在更不好做了,against
44-4-13-2,comment3,城市整齐的道路可以，复杂路况不行。,none
44-4-14,comment2,出租行业不是自己把自己作死的,favor
44-4-16,comment2,底层人士怎么活，年纪大了，工厂不要，拿什么生活,against
44-4-17,comment2,挺好的 打车便宜了,favor
44-4-17-1,comment3,打车还觉得挺好的，近就电瓶车，远就自驾，出差单位报销,favor
44-4-17-2,comment3,最怕就是刚开始便宜，等其他出租车淘汰了就又开始贵了,none
44-4-17-3,comment3,难说，我的城市美国旧金山四年前就有，现在把出租车干死了之后它竟然涨价了50%，但是已经没有出租车可以坐了。,against
44-4-17-5,comment3,看滴滴，前期的优惠只为后期更好宰你,against
44-4-17-6,comment3,参考美团滴滴共享充电宝等,against
44-4-17-7,comment3,现在便宜以后可不一定,against
44-4-17-8,comment3,等以后垄断了你就知道了，看看滴滴还不明白吗,against
44-4-17-8-2,comment4,垄断了，还有司机，这种不是国企，就不怕竞争，只有国企垄断才可怕,favor
44-4-17-8-3,comment4,滴滴现在也比出租车便宜啊,favor
44-4-18,comment2,没错，希望ai加强训练，等到时候把尸位素餐的律师都给清理掉,favor
44-4-18-1,comment3,AI取代律师恐怕比AI取代司机要容易多了！,favor
44-4-18-2,comment3,ai赶紧替代所有岗位，我们好开窗喝风,against
44-4-18-2-1,comment4,如果你觉得你这么轻易就能被ai取代，那你还是早点被取代吧,favor
44-4-18-2-1-1,comment5,你会不会被取代呢,against
44-4-18-2-1-2,comment5,何不食肉糜说的就是你这种人,against
44-4-19,comment2,这种表达很不专业，正确完整的表达应该是对出租车行业带来了积极的影响，是显而易见的。你服不服。大家来围观,favor
44-6,comment1,武汉是交通文明极差的城市了，萝卜能在这搞定无人驾驶，那全国都没问题了,favor
44-6-2,comment2,确实，去过一次，司机完全不看行人，更别说让行了,favor
