id,type,text,stance
1,background,#20岁女孩裸辞花光存款穷游引争议# 广东云浮的一位20岁女生裸辞工作，独自一人穷游76天，途经22个城市引发众多网友热议。#20岁女孩回应裸辞花光存款穷游#：就我个人而言，我是会选择先享受自由的，未来还有几十年的时间可以去奋斗，但是青春就这么几年。而且每个年龄段对于旅行看到的风景事物，心态和 ​​​,favor
1-1,comment1,当事女孩回应争议全文：微博正文,none
1-2,comment1,有什么可争议的，个人自由,favor
1-3,comment1,管她呢！才20岁，往后的日子长着呢,favor
1-4,comment1,又没花你的钱,favor
1-5,comment1,钱花了可以再挣，年轻人好好选择自己的人生，不要理那些评论。,favor
1-6,comment1,她自己理解自己就行，这有什么的,favor
1-7,comment1,20岁还年轻着呢，20岁能有什么存款呀？花光就花光呗，以后再赚。,favor
1-8,comment1,年轻真的可以的，一个人吃饱全家不饿，做啥都可以的年龄，好羡慕,favor
1-9,comment1,才20岁，问题不大,favor
1-10,comment1,如果18岁成年就开始工作，20岁辞职，能有多少存款？,against
1-11,comment1,年轻就要多出去旅行想玩就去吧，大一点了都不敢随便辞职，不太好找工作。,favor
1-12,comment1,做了有些人活到老都不敢做的事情,favor
1-13,comment1,钱可以后赚,favor
1-14,comment1,除了你没看到有人争议。我要是20岁我也敢,favor
1-15,comment1,我年轻也这么干来着,favor
1-17,comment1,步入中年或者以后拖累多了，更没得玩,favor
1-18,comment1,挺好的，虽然我没这个魄力，但不代表我不想这么做,favor
1-19,comment1,对呀我也是这样花一万3个月到处旅游，钱没了又重新找工作赚回一万,favor
2,background,#20岁女孩裸辞花光存款穷游引争议#【 #20岁女孩回应裸辞花光存款穷游#：先享受自由 还有几十年奋斗】据潇湘晨报：近日，广东云浮的一位20岁女生裸辞工作，独自一人穷游76天，途经22个城市引发众多网友热议。 当事人小周此前从事电商工作，今年3月，她突然想去看看世界，于是辞去了工作，4月份她带上自 ​​​,favor
2-1,comment1,首先没花你的钱，其次没花你的钱，最后没花你的钱,favor
2-2,comment1,不是挺好的 有什么问题吗,favor
2-3,comment1,有什么可热议的么 每个人有每个人的追求,favor
2-4,comment1,趁年轻，多看看这世界,favor
2-5,comment1,他比我勇敢，而且就不到2w块钱走了这么多地方，真的很棒,favor
2-6,comment1,自己喜欢就好,favor
2-7,comment1,人家才20岁，没钱了再赚就是,favor
2-8,comment1,才20岁，不去旅游享受人生难道要结婚生子还房贷吗？,favor
2-9,comment1,勇敢的人先享受世界,favor
2-10,comment1,羡慕她能有说走就走的勇气,favor
2-11,comment1,她自己的人生，自己支配，挺好,favor
2-12,comment1,她才二十岁，可以享受自己的生活，花自己的钱做喜欢的事儿ok,favor
2-13,comment1,没辞职，同样玩遍了,against
2-14,comment1,20岁难道不是才上班嘛。,against
2-16,comment1,年轻真好,favor
2-17,comment1,挣钱就是为了自己快乐，酸死他们,favor
2-18,comment1,挺好的，有勇气有规划，独立，,favor
2-19,comment1,勇敢,favor
2-20,comment1,了不起...我有錢但我沒勇氣...,favor
3,background,#24岁我终于决定裸辞了# 刚工作几年啊，业务没明白呢、社会没混透呢，就来个终于。 20多岁一晃过去了，光特么任性了，30多岁狗屁不是，到时候又埋怨挣不到钱，生活不满意，买不起车买不起房。 20多没孩子老人不需要养老没牵挂，是最能全力努一把得日子。 很多什么裸辞都很自豪很爽那种，就辞职那一 ​​​,against
3-1,comment1,确实，24岁懂啥玩意儿,against
3-1-1,comment2,咱这22结婚24当爹的算是反面教材了,none
3-1-2,comment2,25岁前一天，我买了一套房给自己做生日礼物。十几年过去了，我依然庆幸大二的时候毅然退学的决定。,none
3-1-2-2,comment3,厉害我大学毕业工作几年后创业到现在，这几年感觉在给几十个员工打工，累还没挣几个钱,none
3-1-2-2-1,comment4,看来得评个国民企业家,none
3-2,comment1,社会是有基本运转规律的，你反规律，最终成本会很高，都得后期补回来。//:爹味这么浓吗？人生在世就为赚钱买车买房买房车的？我也三十好几但是我并不认同大老师说的这些话，成年人选择自己想做的事承受后果即可，没必要所有人的终极目标都是你所谓的成功。,against
3-2-1,comment2,觉得自己叛逆特立独行有个性（其实同样也是洗脑的结果，世界本来就不存在某种完全独立的思想），年纪大了终将发现自己是SB，当然个别少数真正有才华的人除外,against
3-2-3,comment2,一饮一啄，皆有定数,none
3-2-6,comment2,这是没挨过社会的毒打，还天天跟爹手里要钱的典型,against
3-2-7,comment2,不知道她们老爹味爹味的说是什么意思？认爹也不用这么积极啊。,none
3-5,comment1,好像裸辞很牛逼一样，不就是失业了吗，现在这个经济环境，到处都在裁员，有什么可美的？,against
3-5-2,comment2,所谓的裸辞，就是失业没找到下家呗？,against
3-6,comment1,短视频平台上也一大堆，二十几岁裸辞了，口号喊着什么反卷斗士，躺平了，其实就是吃不了苦不想奋斗，想制造焦虑吸引流量，口口声声说着反卷躺平，拍段子开直播比谁都努力，更可气的是一帮傻子拥护，给刷礼物给评论你太勇敢了，我支持你，我就不敢像你这么勇敢疯了，都疯了,against
3-7,comment1,我现在工作工资一个月4-5千，外快差不多万把，五险一金，每天随便在哪上下班卡，干了三年只去过一次公司，我想干一辈子真的,against
3-7-1,comment2,好奇你外快咋来的,none
3-7-1-1,comment3,比如你是个4s店销售，你老老实实买一台车提成1000，可是如果销售让客户在外面做贷款，和店里说这个客户全款买车，那销售一单能挣1万。各行各业做坚持下去都有外快挣的，我混到现在也是2-3千一个月工资还带车贴钱上班坚持了一年多才到现在。,none
3-7-2,comment2,典型二代的生活,none
3-7-2-1,comment3,外快不是房租，拆是拆了，市区的农村，大多数拆迁也收不了房租，而且05年拆的，只能说没房贷，车子都是贷款买的哈弗。,none
3-7-3,comment2,啥工作我想给我下一代绸缪一下,none
3-8,comment1,人活着就是要想干嘛干嘛，不能被资本家绑架了思想，趁年轻不体验人生，等老了？,favor
3-9,comment1,在我看来，有些年轻人过于矫情（今天我刚满32），一方面嫌工资低，一方面又啥能力没有。对于大部分的工作来说，都是你先要投入（精力、能力、时间），才有可能增加收入。晚上9点路过链家看看很多店灯火通明，他们一定有业务么，未必吧，都是在为“未来”等个机会。,against
3-10,comment1,不要理那种鸹貔，他终究骗不了自己的,against
3-11,comment1,我想，但我不配,favor
3-12,comment1,性价比车型推荐呢,none
