id,type,text,stance
1,background,#不婚族的未来会是怎样的# 很多人说不婚族老了会寂寞。 我觉得很好笑。 好像结了婚就不寂寞了似的。   ​​​,favor
1-1,comment1,结了婚那就不是寂寞了，那就是漫长几十年的烦恼,favor
1-1-1,comment2,哈哈哈哈过于真实,favor
1-1-2,comment2,对的,favor
1-1-5,comment2,你说的太对了,favor
1-1-8,comment2,所以你是要寂寞还是要烦恼,none
1-1-10,comment2,对 还有孩子的一大堆事,favor
1-1-12,comment2,养孩子那钱我留着干点啥不行我反正一直挺佩服我爸妈怎么把我养大的，换作是我我真的心疼钱…,favor
1-1-12-1,comment3,+1我打算丁克,favor
1-1-14,comment2,好多人说不结婚以后会后悔，结婚后的已经后悔了，各有各的好，单身可以减少很多病，比如妇科病，乳腺增生，,favor
1-1-14-1,comment3,就是一座围城,none
1-1-14-2,comment3,应该是说妇科癌，哈哈，婚前还要打贵的疫苗，否侧等死,favor
1-1-16,comment2,可不是,favor
1-1-21,comment2,一个人度过余生和不喜欢的人相比度过余生更煎熬,favor
1-1-22,comment2,不，人家会说，不结婚一个人老人生病了都没个人给你端茶递水,favor
1-1-22-1,comment3,有儿有女的，躺在医院里端茶递水的也是护工，给你擦屎的还是护工,favor
1-1-22-2,comment3,我妈就是这样说,none
1-1-24,comment2,结了婚有结了婚的烦恼，生孩子有生孩子的烦恼，不婚有不婚的烦恼，人的一生就是在不断后悔着,none
1-1-25,comment2,对！结了婚就是无穷无尽的烦恼！面对老公，无时无刻不生气,favor
1-1-25-1,comment3,你男票不婚主义嘛,none
1-1-27,comment2,結婚為什麼要選好日子 因為結了婚就沒好日子過了,favor
1-1-28,comment2,结了婚可能双倍寂寞？,favor
1-1-29,comment2,有道理,favor
1-1-30,comment2,那李湘寂寞吗,favor
1-1-35,comment2,确实是，不过比起晚年要在养老院等死我宁愿选择烦恼,against
1-1-35-1,comment3,你又知道你老了一定是个废人？,favor
1-1-35-1-1,comment4,我废不废另外说，但你的口是真臭,none
1-1-35-1-1-1,comment5,还是你牛 还没老就有人开始帮你刷牙了,none
1-1-35-2,comment3,其实不然，找到合适的人一辈子是幸福，但是兴趣不投没有共同话题，有时候躺在你身边你都觉得孤独。亲身感受。一个人过的时候自由自在，有喜欢的人了有期待，反而满是失望。各有各的好吧！,none
1-1-35-3,comment3,老了再找老伴如何,favor
1-1-35-4,comment3,往好处想，结了婚照样还是会进养老院等死呢,favor
1-1-35-4-1,comment4,不一样噢，一个是有家人 一个没有家人，到了哪个年龄没有家人很痛苦的,against
1-1-35-5,comment3,说得结了婚生了子就不用住养老院似的,favor
1-1-37,comment2,你太有才了,favor
1-1-39,comment2,哈哈哈哈哈哈哈是这样的，而且很不自由,favor
1-1-40,comment2,真理,favor
1-2,comment1,这不是寂寞的问题，是养老的问题吧,none
1-2-1,comment2,你要知道 有一个叫做养老院的东西,favor
1-2-2,comment2,放心吧，不结婚的人真的多了，那时候国家的养老服务也会发展起来了,favor
1-2-4,comment2,我有三个舅舅，我外婆现在一个人生活,favor
1-2-5,comment2,养个孩子吧差不多是可以抗通货膨胀率的投资方式，毕竟他年轻时赚的钱肯定比你年老时赚的钱要多（无能的是小概率事件），而且大概率下你对子女的信任度会比外人保姆和养老院护工的信任度要高很多吧（不孝子女也是小概率事件）。所以养小孩的人基本都是在为自己对抗年老体弱多病与死亡的恐惧感在做准备。,against
1-2-6,comment2,这年头还有养儿防老的思想？,favor
1-2-8,comment2,说得好，我要给我妈养老，所以我不结婚，分不出精力照顾别的妈。,favor
1-2-9,comment2,靠山山倒 靠人人跑 还是自己最可靠,favor
1-2-10,comment2,遗赠养老协议了解一下，比孩子靠谱。,favor
1-2-11,comment2,搞得好像结婚生了孩子就有人给你养老一样,favor
1-2-11-1,comment3,没孩子就一定没,against
1-2-12,comment2,养老问题太难了 身边有这样亲戚 有钱有房的 但是一个人生活老了真孤独 生病了不知道怎么办,against
1-2-13,comment2,自己的生老病死托付给别人干嘛，如果结婚是为了养老那要养老院干嘛,favor
1-2-13-1,comment3,……这句话的逻辑我也是服了,against
1-2-13-1-1,comment4,就是说不要为了养老去结婚，把自己托付给你的丈夫或妻子，他们和你结婚不是为了给你养老，但养老院你掏钱他们就有义务，别说丈夫妻子也有义务，我不觉得，每个人都是独立的个体，至于养老院为什么有因为这是一种消费行为，有利益关系，总的来说就是不要打着亲情爱情和婚姻的旗号“绑架”任何人,none
1-2-14,comment2,"我看过一句话是这样说的:""如果养儿是为了防老，那母爱就不足以被冠宇伟大""",none
1-2-14-1,comment3,道德绑架母爱不太好吧,none
1-2-14-1-1,comment4,可能是我的句子没有说完整,none
1-2-15,comment2,但是不结婚绝对没有人养老  结婚生子万一有人养老呢。,against
1-2-15-1,comment3,哈哈哈对啊，这就是概率问题,against
1-2-16,comment2,不要偷换概念，啊哈哈，你想想现实生活中，又哪个子女能有大出息让父母衣食无忧，还能悠闲的过上养老生活？更多的是父母老了还要给我们买房掏空积蓄，老了还要给我们带孩子，太难了,favor
1-2-16-1,comment3,姐妹你再读读题吧，别被喷子带歪了,none
1-2-16-2,comment3,可是有人愿意赡养父母有问题吗,against
1-2-17,comment2,如果生孩子为了养老，我觉得还不如不生孩子啊哈哈，把钱省下来住养老院会跟靠谱。生了孩子还要给孩子买房，带孩子,favor
1-2-17-1,comment3,都可以啊，这是自由,none
1-2-19,comment2,拿养孩子的钱攒下来请个保姆护工啥的不香么,favor
1-2-20,comment2,未尝不可,favor
1-2-21,comment2,不是不做，而是不用一定去做。做不做是自己的选择，而不是社会的规定，没有人可以规定任何人的人生必须经历什么,none
