id,type,text,stance
1,background,我其实一直都不排斥预制菜。 因为有些馆子搞得还不如预制菜。 好吃卫生就行，预制不预制，不讲究。 ​​​,none
1-1,comment1,武汉餐饮就这水平,none
1-1-1,comment2,北京人原来有味蕾啊？,none
1-1-2,comment2,北京菜都是满族人带过去一些，加上山东厨子都在北京，鲁菜。,none
1-1-3,comment2,没事没事，北京菜真是不行，比杭州强一点点就行,none
1-1-3-1,comment3,喝你那豆汁潲水去吧  那叫一个地道,none
1-1-3-2,comment3,豆汁？狗都不吃,none
1-1-4,comment2,百京也能谈饮食了？地道,none
1-1-5,comment2,京爷也好意思说？,none
1-1-5-1,comment3,北京烤鸭能上国宴，周黑鸭能吗？,none
1-1-5-2,comment3,嘲笑老北京饮食没啥，但嘲笑北京餐饮业就大可不必了...光各地的驻京办餐厅就碾压了,none
1-1-5-2-1,comment4,您怎么不去说楼主呢,none
1-1-5-2-2,comment4,驻京办餐厅贵吗？,none
1-1-5-2-2-1,comment5,我就去过新疆驻京办的自助，价格还行吧，疫情前是188一位,none
1-1-5-2-3,comment4,那是百京的吗，那是全国人民在给百京人送福利,none
1-1-5-2-3-1,comment5,哈？有那么多被哈耶克的大手调教过的好餐馆，有几个北京人跑驻京办吃饭的？只不过驻京办是说出来最直接的各系菜代表而已,none
1-1-5-2-3-2,comment5,这是朝贡了,none
1-1-5-2-4,comment4,谁先挑衅的？,none
1-1-5-2-4-1,comment5,武汉美食，狗都不吃,none
1-2,comment1,预制不预制无所谓，清楚明白告知消费者就行了。预制卖预制的价，现做卖现做的价。你按现做的价给我端预制菜上来我肯定拍桌子了。,none
1-2-2,comment2,预制菜凭什么只能卖预制菜来的价格  ....从来没听说过什么饭店是按成本价定价的，不喜欢就自己在家做，要求饭店给你预制菜的成本价做梦呢，倒出来简单加热，那也是服务，也是要给他费用，你要不服气就自己买回家做，哈基米无形的大手帮你省钱。,favor
1-2-3,comment2,其实你如果真正了解过。预制菜为什么发展不起来，主要问题在于贵。同样质量的食材，人工现做价格比预制菜低。合格的预制菜对卫生，口感，保质有很高要求，然后流通销售环节也是巨大成本。而现做对口感保质流通销售无成本。预制只有连锁品牌中央厨房有点成本优势，其他预制菜只能是以次充好才低成本,favor
1-2-4,comment2,预制菜不代表便宜，成本没准比用厨师还高,favor
1-2-8,comment2,不是说自己的剩菜都不健康要倒掉，还有自腌肉菜也不健康。怎么预制菜就没人提健不健康了。看来健不健康还是资本说了算。,against
1-2-8-1,comment3,你自家的剩菜也能达到国标的话健不健康不好说，但安全是肯定的,none
1-2-8-1-1,comment4,你觉得预制菜跟剩菜有区别，哦还真有，有防腐剂不过也没多大事，不是有个兄弟刚才回复我说防腐剂有利身体健康。这都不重要，毕竟大势所趋。我只希望大家都吃饲料的那一天晚点到来，毕竟资本化工业化都讲究效率，饲料的效率最高，到时会有大把人跟你科普饲料如何健康多吃会长命百岁,against
1-2-8-1-1-1,comment5,家里私人小作坊模式做得饭菜和工业流水线比谁更安全还真不一定哦。起码流水线各种消毒，温度，湿度，微生物数量，各种化学元素成分占比是有严格量化要求的，出了事也有有关部门监管。,favor
1-2-8-2,comment3,哪个健康哪个不健康是食物的生物与化学过程决定的，你这种望文生义的说法完全没道理啊,favor
1-2-9,comment2,你凭啥说这是现做的价格？预制菜就不能卖贵了？,favor
1-2-11,comment2,而且还不好吃,against
1-3,comment1,管理得当的食品工业可比绝大多数食堂干净多了,favor
1-3-1,comment2,没吃过罐头?怎么可能干净,against
1-3-1-2,comment3,为什么不可能干净？,favor
1-3-1-2-1,comment4,因为这种原材料就是用的烂的,against
1-3-1-2-1-1,comment5,幽默数字生命,none
1-3-1-2-1-2,comment5,这种？哪种？就因为某张说不清来历的照片就能说明所有的都不干净？你真的见过食品厂嘛？因为工作关系，我经常看各种食品厂，我可以告诉你猫粮都比你在外面小馆子吃的干净。,favor
1-3-2,comment2,里面的各种添加剂肯定干净,against
1-3-2-1,comment3,菜里各种调料还不知道是什么玩意 我最喜欢吃烤肉和火锅就因为这两原材料好就行,against
1-3-2-5,comment3,对对对，养殖场还会打激素抗生素呢，建议自己去抓野鸡野猪驯化饲养嗷,favor
1-5,comment1,要说起来感觉预制菜在安全卫生方面应该更好把控吧…,favor
1-6,comment1,喷预制菜的，没有小姐少爷的命的了小姐少爷的病，还是吃太饱,favor
1-6-1,comment2,我去大排档吃现炒，你给我上预制菜？,against
1-6-1-1,comment3,卤菜是不是预制菜？你们广东喝茶的时候吃的所有菜，在严格定义下，可以都是预制菜,favor
1-6-1-2,comment3,你都大排档了你还纠结这些？有吃的就不错了,none
1-6-1-2-1,comment4,大排档怎么了？,none
1-6-2,comment2,支持预制菜的，被人卖了还给人数钱,against
1-7,comment1,KFC麦当劳萨莉亚必胜客都是预制菜，但是有一个是一个也确实比大多数馆子干净。,favor
1-8,comment1,我到现在都不太明白人们口中的预制菜到底怎么定义，卤菜算不算？烧白（扣肉）粉蒸肉算不算？肯德基麦当劳算不算？定义要是严格一点，恐怕酥肉都躲不掉。至于料理包啥的……你听过火锅底料么？那个是不是预制菜？还有各种包装好的酸菜鱼佐料卤料包什么的……所以我是属于干净卫生好吃就行那种人,favor
1-8-1,comment2,一个靶子罢了，几年前欧美就全是预制菜了，那时候，预制菜代表先进，标准统一，味道稳定，适应现代生活。现在中国预制菜多了，就转头说预制菜不健康，哪哪都不对,favor
1-8-1-1,comment3,相对来说预制菜还真是能保证口味统一，比如，去了不熟悉的地方，小的饭馆得花钱去试错，有可能惊艳也可能是大坑，但是肯德基麦当劳德克士沙县黄焖鸡之类的我不用进门就知道自己要点什么，口味跟我熟悉的地方不会差很远，所以有时候我还倾向于去选这些连锁店吃,favor
1-8-1-1-1,comment4,沙县不是，黄焖鸡还凑合吧…最起码都是黄焖的鸡？…沙县是真的，天南地北不是一个味儿，甚至不是一个菜,none
1-9,comment1,如果预制菜很好，那请领导先吃,against
1-9-1,comment2,你不会觉得国宴都是现做的吧哥们,favor
1-9-1-1,comment3,多读点书，别丢人现眼,none
1-9-1-2,comment3,你说说哪道淮扬菜是预制的,against
1-10,comment1,也不反对预制菜，必胜客萨莉亚我也喜欢吃，关键你别拿预制菜装先做的，价格那么高，那就别怪别人说你不好了,none
1-10-1,comment2,吃的，其实主要是房租和税收。,none
1-11,comment1,纯工业化的东西下限高，而馆子，下限不设限,favor
1-12,comment1,但预制菜怕有315那样的淋巴肉，深加工后太难分辨了。。。,against
1-12-1,comment2,不用怕，这不肯定的吗,against
1-12-1-1,comment3,如何吃不到淋巴肉,none
1-12-2,comment2,现做更难分辨,favor
1-13,comment1,预制菜是工业实力强的一种体现，我小时候还挺羡慕米国发达的预制菜的，不太明白为什么土殖要喷这个，太倒反天罡了。我认为这玩意儿的主要问题是价格，和炒菜同样的价格卖我，我还不如自己上京东买一箱放冰箱里呢。,favor
1-14,comment1,餐馆还是得现炒，在家吃半成品或预制菜是因为懒得动手，你餐馆就是靠厨艺提供更好的菜品，什么你说你也懒你也用预制菜？那我去你餐馆吃个集贸,against
1-15,comment1,我支持预制菜，因为我真吃过四年大学食堂,favor
1-15-1,comment2,哪些是预制的?,none
1-16,comment1,完成度1~99%都算预制菜，也没个规定，饭馆更不会主动说明,none
1-17,comment1,定好标准其实没什么问题,favor
1-18,comment1,说白了，有些人一直觉得工业的不如人工的，完全对现在工业缺乏认知,favor
1-19,comment1,预制菜还是比白人饭好,favor
1-20,comment1,有预制菜就会有很多小作坊进入这个赚钱的行业！,against
2,background,【#杭州宣布加强杭帮菜向预制菜转化#】杭州近日对《推进杭帮菜高质量发展十大行动》予以修订。其中提到，加强杭帮菜经典名菜向预制菜，杭帮菜创新作品向餐饮产品的转化。对销售杭帮菜单品年销售额首次突破0.5亿元、1亿元、2亿元的企业，分别给予不超过25万元、50万元、100万元的一次性奖励，其中提档升 ​​​,none
2-2,comment1,对我来说预制菜没啥问题。有问题的是又贵又难吃又不卫生。,favor
2-3,comment1,杭州确实也是国内最早发源预制菜的几个地方之一然后导致外卖平台都是预制菜，挤占厨师生存空间，跑去外省了不少吧,none
2-4,comment1,杭州菜，预制不预制有啥区别？不是一样难吃么？,none
2-4-1,comment2,别搞笑哟，预制菜可比杭州菜好吃多了,none
2-4-1-2,comment3,哈哈哈太扎心了,none
2-5,comment1,美食荒漠，更荒漠了,against
2-6,comment1,杭帮菜已经那么难吃了 还要更难吃,against
2-10,comment1,脑子进水,against
2-12,comment1,预制的西湖醋鱼？想想就饱了,against
2-12-1,comment2,预制杭帮菜，十年前就有了，而且生意火爆,none
2-13,comment1,都吃杭帮菜了，是不是预制菜重要吗,none
2-14,comment1,确实，杭帮菜很适合做预制菜。,none
2-15,comment1,哦吼，完蛋,against
2-16,comment1,马云的杰作？,none
2-17,comment1,杭州吗？老天爷，美食荒原要出预制菜吗？求放过,against
2-18,comment1,咋滴我感觉是背后的资本成功了。,against
2-19,comment1,真是脑纸进水,against
2-19-1,comment2,拉高租金让你不得不用预制菜 预制菜他们再继续盈利  资本之恶 管理之恶,against
3,background,【想问】有人在吃预制菜吗？这个可不可以吃啊，看到一包菜才三四块真的好心动算一算一天吃两顿一天才花七八块钱…一个月两百四十块…健康什么的不怎么担心，平时吃饭为了省钱省时间本来就不怎么健康了，吃预制菜只要不会吃进医院就好 ​​​,none
3-1,comment1,反正吃外卖也是吃预制菜，在家吃还干净点,favor
3-1-1,comment2,都很难吃,against
3-1-2,comment2,可是外卖的预制菜也不脏啊，外卖预制菜的问题主要是贵，不预制的脏。但是预制菜在工厂做的时候也不见得干净,against
3-1-2-1,comment3,外卖店可能脏,none
3-1-2-2,comment3,有的外卖就是工厂预制菜热一下装好给你的,none
3-1-3,comment2,还便宜还不会被吐口水,favor
3-1-4,comment2,不过还是不要天天吃,against
3-2,comment1,宝宝告诉你一个同样省钱又营养健康的方法，我懒的时候买一大袋越南春卷皮买两根黄瓜胡萝卜，春卷皮泡水就能吃蔬菜切小条再煎个鸡蛋切成丝撒点调料卷进春卷里，时间金钱成本都很低一天的营养也足够了重点是还好吃,none
3-2-1,comment2,我学,none
3-2-2,comment2,天哪学到了^ω^,none
3-2-4,comment2,那种鸡胸肉煮熟撕成丝再拌点红油加里面也好吃,none
3-2-5,comment2,我学,none
3-2-5-1,comment3,可以卷好隔夜第二天中午再吃吗？,none
3-2-6,comment2,好的，又学到一个糊弄吃饭法,none
3-2-7,comment2,我学！,none
3-2-8,comment2,感觉挺适合夏天不想开火,none
3-2-9,comment2,吃多了会腻吧,none
3-2-9-1,comment3,调不同口味的酱汁？,none
3-2-10,comment2,做饭心情死灰复燃,none
3-2-11,comment2,不需要加热对咩,none
3-2-11-1,comment3,如果指的是春卷皮的话，不需要嘟（鸡蛋就需要啦）（春卷皮也可以用超市那种大袋面包片替代，饱腹感会比较强）,none
3-2-12,comment2,好天才！我学,none
3-2-13,comment2,噢噢噢哦哦好方法！！！,none
3-2-14,comment2,我去这个看起来好好吃还好健康，我码！天才宝宝！,none
3-3,comment1,可以吃，很多外卖都是预制菜,favor
3-5,comment1,吃吧，自己买是便宜的预制菜，点外卖可能是昂贵的预制菜,favor
3-6,comment1,合格的产品是没问题的,favor
3-8,comment1,可以吃，就是没啥青菜容易便秘,favor
3-9,comment1,可以吃 偶尔煮点面条配青菜 那种可能会重油重盐 吃太多还是不太好,favor
3-10,comment1,可以自己做“预制菜”，周末早起去早市买一些便宜的食材，花两三个小时做出来一周的量，密封好冻起来。比如肉酱、卤鸡蛋、玉米青豆胡萝卜碎。比每天都买新鲜的现做要方便省钱,none
3-11,comment1,我在饭店打工的时候卖的全是预制,none
3-12,comment1,宝宝，可以吃预制菜，但是不能每天一日三餐都用预制菜代替，可以煮点面/粥放点青菜啥的，要注意身体呀,favor
3-13,comment1,宝宝我给你推荐一个dy李餐谋预制菜宇宙 他发的都是能看见配料表且配料表干净的 但我没买过不知道多少钱 你参考一下,favor
3-14,comment1,吃吧，外卖也都是预制菜,favor
3-15,comment1,买挂面鸡蛋青菜也不错呀 买点调料包换口味就好了,none
3-16,comment1,也可以买一包挂面、一小块火锅底料 就是取一小块火锅底料 放水里煮开 味道太淡就加盐和鸡精 煮挂面吃 可以再放一个鸡蛋。真的好吃 我感觉也不会不太健康 我没钱的时候经常这样吃火锅底料真的吃不腻 还可以视情况加一些菜什么的 真的就是火锅面的味道,none
3-18,comment1,其实可以的  但不常吃没问题的  方便又快捷 外卖大多是也预制噢 目前应该是安全哒,favor
3-18-1,comment2,或者卖那种便宜的豆皮！便宜的六块三斤怎么做都好吃，还特别便宜！我吃了三周才花了6.99+13.9  特划算的拿什么办都0K的，这个长吃也不太行主要看个人啦，比较像肉的,none
3-19,comment1,可以的，反正我吃了两个月咖喱鸡肉料理包（一周三四顿）没什么问题，外卖不一定比这个干净，而且说不定用的还是同一款预制菜。,favor
3-20,comment1,还是不要长期吃，搞点水煮菜也不难,against
4,background,一直以来都说隔夜菜不能吃，但是快餐店和饭店里的预制菜，真不知道隔了多少夜？ ​​​,against
4-2,comment1,什么腌菜硝酸盐  白粥升糖快  油条不能吃的   老传统一夜之间犯了天条似的,none
4-2-1,comment2,颠覆了传统饮食才能得现代病，准备好的赚病人一辈子钱的药才有大市场,none
4-4,comment1,所以预制菜是工业菜，更不能吃,against
4-6,comment1,不知道,none
4-7,comment1,防腐剂是硬科技,against
4-8,comment1,大部分都是预制菜,none
4-10,comment1,至少麦当劳，肯德基不会隔夜,favor
