id,type,text,stance
1,background,嘿！不是说提升不大吗？抢的人还这么多？ #iphone15开卖# #苹果官网崩了# #苹果首发# ​​​,against
1-1,comment1,14到15是提升不大，但如果是12换15呢,favor
1-1-1,comment2,我11换15,favor
1-1-2,comment2,13pm换15p我心心念念的小手机快到手里来,favor
1-1-3,comment2,se2换15呢,favor
1-1-4,comment2,你们用旧手机抵扣没有啊,none
1-1-5,comment2,同12换15,favor
1-1-6,comment2,12pm表示根本没感觉到有什么提升，太无聊了，准备改华为了,against
1-1-7,comment2,11换15pro,favor
1-1-8,comment2,12换15在此,favor
1-1-10,comment2,8plus换15promax呢,favor
1-1-11,comment2,安卓换15了,favor
1-1-13,comment2,Xs 64g换15pro 256g呢,favor
1-1-14,comment2,我是等你们买完，看看晚上摄像还有没有鬼影，鬼影改善了我再下单,none
1-1-15,comment2,12换15 已下单,favor
1-1-16,comment2,我的12刚过摔了,none
1-1-17,comment2,我是7P,none
1-1-18,comment2,13pro打算618换15pm,favor
1-1-19,comment2,11等16,against
1-1-20,comment2,8p换15，11换15,favor
1-1-21,comment2,我的12已经撑不住了,none
1-1-23,comment2,原来如此,none
1-1-24,comment2,8换15哈哈哈哈哈哈哈,favor
1-1-25,comment2,我抢是为了第一批加价卖赚点钱而已,none
1-1-26,comment2,11-15,favor
1-1-28,comment2,还在用4s的举手‍♂️,none
1-1-29,comment2,哈哈哈哈对,favor
1-1-30,comment2,13换15也很香,favor
1-1-31,comment2,8换15,favor
1-1-32,comment2,我8换15,favor
1-1-33,comment2,11换15,favor
1-1-34,comment2,11还继续用呢，明年换16,against
1-1-34-1,comment3,我也11，准备16再换,against
1-1-34-2,comment3,一样,against
1-1-34-3,comment3,12换17,against
1-1-34-4,comment3,你牛逼，打游戏没压力是吧,none
1-1-34-4-1,comment4,游戏只玩消消乐，平常使用感觉没啥区别，好好的，都没有理由换手机,against
1-1-34-4-1-1,comment5,你更流弊，游戏只玩消消乐！系统版本没有更新几次吧？,none
1-1-35,comment2,还有我的苹果七,favor
1-1-36,comment2,我还是在用8,against
1-1-37,comment2,14到15提升可能不大，但是改变不小按键充电口这些,favor
1-1-38,comment2,苹果4换15呢..要是不是23g网络关闭还能战10年,favor
1-1-38-1,comment3,真的假的还在用4你别太离谱哈哈哈哈哈,none
1-1-39,comment2,我是6sp换15pm真的该换了,favor
1-1-40,comment2,我7p准备换了，我老公6p还在坚持，电池都没换过,favor
1-1-41,comment2,7p换15pm不要太爽,favor
1-1-42,comment2,如果是8p换15呢,favor
1-1-42-1,comment3,直接起飞,favor
1-1-42-2,comment3,我以为没有同行了,favor
1-1-42-3,comment3,原地起飞,favor
1-1-43,comment2,你们都不看下实体机再选颜色吗,none
1-1-43-1,comment3,没必要 只买黑白,none
1-1-43-2,comment3,带个手机壳都忘了原来是啥颜色,none
1-1-44,comment2,如果是xs换15呢,favor
1-1-45,comment2,苹果8换,favor
1-1-45-1,comment3,哈哈哈哈哈找到组织,favor
1-1-46,comment2,12-15,favor
1-1-48,comment2,我x换15pro,favor
1-1-48-1,comment3,同样,favor
1-1-50,comment2,Xsm换15又跨越了，上一次是6S换xsm,favor
1-1-50-1,comment3,和我一样一样的6s换xsm再换15,favor
1-1-50-2,comment3,一模一样，我依然觉得xsm是手感最好的,against
1-1-50-3,comment3,1，对我们来说就是质的飞跃啊,favor
1-1-50-4,comment3,我们一样啊,favor
1-1-50-4-1,comment4,每次都是质的跨越,favor
1-1-51,comment2,13pm换15pm，xsmax换13pm，我终于升级了,favor
1-1-52,comment2,6换15,favor
1-1-53,comment2,如果是11换15呢,favor
1-1-54,comment2,11换15 质的提升,favor
1-1-54-1,comment3,我的11都快不能接打电话了，经常是处于无法接通状态,none
1-1-54-2,comment3,我也,favor
1-1-54-3,comment3,我就是11换15,favor
1-1-54-3-1,comment4,俺也是 直接上pro了,favor
1-1-54-3-1-1,comment5,好巧我也是换Pro但是没舍得上PM哈哈哈哈,favor
1-1-54-3-1-2,comment5,我11上15pm  质的飞跃,favor
1-1-54-4,comment3,请问一下您的11信号还好吗，我这卡的不行,none
1-1-54-4-1,comment4,我的信号还可以，就是因为没内存所以不玩游戏,none
1-1-54-4-1-1,comment5,这两天打游戏给我卡emo了都,none
1-1-54-4-2,comment4,我的不卡，用了两年多了，感觉还行除了电池不行了,none
1-1-54-4-2-1,comment5,对，我的电池也不行了…都是虚电，一天三充吧,none
1-1-54-5,comment3,一样,favor
1-1-54-6,comment3,一样,favor
1-1-55,comment2,我就是12p换的15p,favor
1-1-56,comment2,XR换15PM,favor
1-1-56-2,comment3,这个提升比较明显,favor
1-1-56-3,comment3,一样啊 我的XR受不了了都,favor
1-1-56-4,comment3,我也是 都说跟14没区别 钱也一样 对我来说可不一样 管他有没有进步 我就买,favor
1-1-56-5,comment3,同哈哈哈都说不大，但是对于我们来说挺大的,favor
1-1-57,comment2,哈哈哈哈哈哈哈  11-15,favor
1-1-58,comment2,8换15,favor
1-1-58-1,comment3,居然还有跟我一样的哈哈哈,favor
1-1-59,comment2,11换15,favor
1-1-59-1,comment3,你们都买的啥色,none
1-2,comment1,印度产的不敢买,against
1-2-3,comment2,只有7%印度产的，90%中国产的,none
1-2-6,comment2,pro和硕产的,none
1-2-7,comment2,也就只有你这种傻子相信,none
1-2-8,comment2,自媒体的话还真信啊  他们还说都不买 一个个抢的起劲,favor
1-2-8-1,comment3,因为中国的果粉不在乎啊,none
1-2-8-2,comment3,彭博社什么时候成自媒体了,none
1-2-8-2-1,comment4,自媒体说彭博社的新闻，你让他把彭博社的新闻链接发出来看看,none
1-2-8-3,comment3,小米哪一年不断货饥饿营销罢了,none
1-2-10,comment2,别有风味的苹果,none
1-5,comment1,有没有一种可能，我去抢只是为了拿来卖,against
1-5-1,comment2,但是今年好难卖 牛牛都不收了 说等22号再看行情价,none
1-5-1-1,comment3,不收也没有关系，用14天退货,none
1-5-1-1-1,comment4,想知道退货的时候要不要运费啊,none
1-5-1-1-1-1,comment5,官网十四天内不用的,none
1-5-2,comment2,俺也一样,against
1-6,comment1,还说中国经济不行吗？为什么苹果抢不到 华为也抢不到 火车票更抢不到,favor
1-6-1,comment2,周杰伦，张学友演唱会门票也抢不到,none
1-6-2,comment2,疫情发了一笔国难财,none
1-6-2-1,comment3,疫情都是哪哪破产哪哪 停业的啊,none
1-6-2-1-1,comment4,我们疫情的时候加班值班拿了加班费还有补贴，不受封控的工作,none
1-7,comment1,现在抢到的话 22号发货吗,favor
1-7-1,comment2,现在pro max系列要到10月底了，太火了,none
1-7-3,comment2,我40付款成功的，到了十月底发货了,favor
1-7-3-1,comment3,这么久,none
1-7-4,comment2,22号起陆续发货,none
1-8,comment1,出一台22号首发黑色15 pro max 512的，有要的吗,none
1-8-1,comment2,我出一块钱,none
1-8-2,comment2,礼貌问价,favor
1-8-3,comment2,礼貌问价,favor
1-9,comment1,天猫官方旗舰店过了一个小时还有货呀。一度怀疑我是不是买错了,favor
1-9-1,comment2,已经不是首发了呀都是 60 天 53 天发货的  要 22 号发货的才是首发,none
1-9-1-1,comment3,显示是13内。 8.40多付款的,favor
1-9-1-1-1,comment4,你买的是15吧，pro和max都是53天60天了,none
1-10,comment1,明明有的是货，非要说成是抢,none
1-12,comment1,遥遥领先,against
1-14,comment1,蹲一个原价pro max256G,favor
1-18,comment1,现在买的都后悔，因为16升级非常巨大,against
1-19,comment1,喊提升不大的人又不是目标客户,favor
2,background,#iPhone15开卖# 到底是谁在买？苹果官网崩了还竟然，我没听到身边任何人讨论啊，网上都没看见刷发布会的内容 ​​​,against
2-1,comment1,我朋友圈全在抢,none
2-2,comment1,感觉今年舆论在压苹果的热度。,none
2-2-2,comment2,虽然但是苹果今年第一批的备货量就比往年少很多,none
2-2-3,comment2,感觉不单是压，我看了看有关手机博主，评论全在骂苹果信号不好，都说要转华为，我同事今天还说华为新机抢不到，补货一千万台……,none
2-2-3-1,comment3,华为是真抢不到 不是作秀啥的,none
2-2-3-2,comment3,不过苹果确实信号不好.同样抢周杰伦演唱会.我同事华为抢到了.我们苹果都抢不到,against
2-2-3-3,comment3,我也看了，而且很多单位（应该是体质内）都在统计谁用苹果手机，都感觉会不会有一天大家都自愿用国产手机，更好控制…,none
2-2-3-3-1,comment4,但我觉得吧……只能用华为，其他国产手机电脑都不能用……这也是一种垄断资本吧，反正因为这样我对华为没好感。,favor
2-2-3-3-2,comment4,我家基本都是体制内吧（我不是），不准用苹果跟其他手机，要求都用华为，单位电脑也都是采购华为，我爸说是信息战略方针啥的，信息安全，从16年开始就要求了……,none
2-2-3-3-4,comment4,我们单位今天吃饭刚好在说了，说准备要下通知不给用了，各个同事都很生气，因为基本都是,favor
2-2-3-3-5,comment4,我老家的同学 已经接到通知不能用苹果手机传输工作相关的内容  …其实就是““不建议”用苹果的意思￼,none
2-2-3-3-5-1,comment5,我感觉也挺正常的，记得之前苹果是泄露用户信息还是倒卖用户信息上新闻了，之后肯定对它有所警惕，毕竟大家的信任是有限的，更别提体制内了。它还是外企,against
2-2-3-3-5-2,comment5,是体制内吗，其实已经就是明示不是暗示了。,none
2-3,comment1,网上看不到是因为：你能看到的都是上面想让你看到的，不想让你看的自然会压热度,none
2-3-1,comment2,我一直纠结买苹果还是华为。刷到的全是华为的正向宣传，和黑苹果的,none
2-3-1-1,comment3,我看身边人用华为用一年多两年就不行了，我的8P和6S现在还能用，可以用做备用机；尤其是8P经常被我拿来泡澡的时候看剧，已经进水无数次了，还是很顽强,favor
2-3-1-1-1,comment4,我的mate30三年多了还是很流畅哦经常洗澡带进浴室湿手操控没有任何问题,against
2-3-1-1-1-1,comment5,好的，苹果8已经6年了，苹果6S已经8年了还能开机找手机里储存的信息数据；希望再过3年你的华为还能顺滑使用,favor
2-4,comment1,微博全是骂苹果要买华为的……整的好像苹果要倒闭了,favor
2-5,comment1,苹果发布会哪天，话题讨论度和参与度都是华为的好几倍，但是没上热搜，所以大家都懂是谁干的好事,favor
2-7,comment1,因为不让夸，买的人当然不会出来说就跟国内网上天天我们自己夸自己，结果我身边今年r出来的好几个了，都是在国内一线定居了的（四个一线都有，不止sh）,favor
2-8,comment1,我买了，八点半多才付款成功，我现在的是12，电池和充电线都不行了，也该换了，嘿嘿嘿。,favor
2-8-1,comment2,12的路过，不知道15的信号行不行？还在观望中,none
2-8-2,comment2,11用了4年也打算换了,favor
2-8-3,comment2,我的13.还打算再用五年,against
2-9,comment1,压什么了？所有银行APP都在通知我iPhone开售，果粉管这叫行政压制？不要太爱装白莲花受害者好不好,against
2-10,comment1,行政反制，发布会期间不让苹果上热搜,none
2-11,comment1,九点多买了预计下个月十七号前送达 我的11实在是顶不住了 换了电池续航依旧差 内存也不行,favor
2-11-3,comment2,我的11还能坚持……,against
2-11-4,comment2,哈哈同11用户，打动我的主要是明年1-就不给抵钱了……这破东西是真的没什么留着的想法,favor
2-11-4-1,comment3,我的也是11是明年就不能以旧换新了是嘛？,none
2-11-4-1-1,comment4,今年以旧换新写的就是11往后的型号，去年我记得苹果X还是可以抵的，按照这样推算下去，明年16就不能用11抵了吧,none
2-11-4-1-1-1,comment5,原来是这样我还寻思着再撑撑呢,none
2-12,comment1,苹果的用户群体很稳定啊，因为安卓的用户可以各个牌子跳，喜欢ios的很难跳去安卓，更何况是华为一家了。而且我还是要说我爸妈都用华为但是我忍不了一点安卓系统。,favor
2-14,comment1,我买了，并且认识的朋友七八个都买了，然后群里也都在抢啊。,favor
2-14-1,comment2,我也。但是超担心中美贸易战，苹果把中国的手机变板砖。我感觉老美啥缺德事都能干出来。但是理智又告诉我中国事苹果20%的市场，他们不会轻易放弃中国市场。苹果都发售了，我还在纠结……,favor
2-14-2,comment2,身边朋友用的全是iphone，换不换取决于手机是不是不行了我的13前阵子摔了一下听筒不太好了，一直撑到现在。,favor
2-16,comment1,我觉得就是多年的用户就是买，然后也不爱在社交平台讲，属于是用户黏性和忠实度？,none
2-17,comment1,不打算买苹果了，打算买华为。,against
2-18,comment1,不理解，苹果有啥好的,against
3,background,【#iPhone15多次降价重回销量榜第一#】近日，iPhone15多次降价后重回销量榜第一名。据了解本次官方渠道降价后，iPhone15pro 128G版本降至6026，iPhone15promax 256G版本降至7787元，512GB版本降至9578元。iPhone15全系价格跳水，17日晚8点或将继续降价。经历多轮降价的iPhone展现出了强劲销量和生命力 ​​​,favor
3-5,comment1,高考完同学人手一台,favor
3-6,comment1,2024年了，谁还买苹果啊,against
3-6-1,comment2,确实没人买了，我赶紧下一单,favor
3-6-2,comment2,这种屏幕手感好一点啊其他的那些都是曲面屏难看又不好用反正不我不喜欢那种屏  不知道要设计这种玩意儿干啥,favor
3-6-3,comment2,文章都说销量第一了，你还在这里谁用,favor
3-6-3-1,comment3,在网上任何外资品牌和外资车企但凡是外资的在我们互联网里面都要倒闭了，天天天下第一，自吹自擂，真不知道为什么,none
3-6-5,comment2,苹果不卡,favor
3-6-6,comment2,对没人买了，马上倒闭了，现实没人用苹果手机了,against
3-6-7,comment2,然后光京东销量就卖出千万台以上保守,favor
3-6-8,comment2,我买反正我之前用我爸的p50帮他弄点东西，看着也不舒服，拿着也不舒服，用着也不舒服，苹果的屏幕看着就是更舒服，属于是除了信号和电池，其他体验我都觉得非常好手表平板啥的我也是更喜欢苹果的，当时对比华为的感觉体验方面华为被吊打。。,favor
3-6-9,comment2,买不起苹果就酸呗，那你用诺基亚,favor
3-6-9-1,comment3,666，这年代还有人吹苹果,against
3-6-9-1-1,comment4,这些果粉还活在安卓机卡顿的认识当中，不知道安卓的续航信号是玩爆苹果,against
3-7,comment1,买了  不好用  后悔了,against
3-7-1,comment2,和13比呢，哪个好,none
3-7-2,comment2,发烫太严重了，打开相机拍几分钟就烫的不行,against
3-7-3,comment2,而且好丑啊，机型跟以前都不一样,against
3-7-4,comment2,确实不好用，刚出买的，后悔死了，不如以往的机型,against
3-7-4-1,comment3,请问哪里不合适准备买pro来着,favor
3-7-4-1-1,comment4,我的就是pro，信号极差，别人手机有信号，我的手机就不行，信号甚至不如13，另外就是一到夏天玩儿消消乐都烫手，充电百分之八十就充不上了，除非开空调或者冰敷。,against
3-7-4-1-1-1,comment5,信号确实差，经常有信号就是没网络,against
3-7-4-1-1-2,comment5,貌似续航也不太行，孩子爸爸才买那会儿就经常看到他充电，现在更是经常边充边玩，还不如我用了三年的国产机。发烫是真的，信号差可能是因为他用的联通,against
3-7-4-1-2,comment4,续航信号就够你折腾,against
3-7-4-1-3,comment4,发热超级严重，可以当熨斗了,against
3-7-4-1-3-1,comment5,我的个娘,none
3-7-4-1-4,comment4,拍照美颜相机没有华为的好看   还有录音功能的问题   还有照片图片打码也不好用,against
3-7-4-1-4-1,comment5,我的天,none
3-9,comment1,苹果系统简洁流畅，手感灵动丝滑，界面整洁直观，纯净无广告，久用不卡顿，操作起来更加轻松和愉快,favor
3-9-2,comment2,信号差充电慢哈哈,against
3-9-3,comment2,你这些，三千安卓机都能做到，安卓卡顿清朝的事了，也不是所有安卓都是广反正我手机没有,against
3-9-3-1,comment3,华为没广告？给你幽默完了,favor
3-11,comment1,也没降多少啊 等16,against
3-11-1,comment2,16丑的一批，,against
3-12,comment1,所以低价让利给消费者 最有用 便宜什么的，我最爱,favor
3-13,comment1,等16pm,against
3-14,comment1,一千五以内再说,against
4,background,#iPhone15Pro系列至少等三周#【iPhone 15预售：没往年那么难抢，Pro系列至少等三周】#iPhone15开卖# ​ 今年苹果新机没有想象中难抢。9月15日20时，苹果iPhone 15系列的四款新机正式开启预售，截至21时30分，所有首发（22日）当天现货已经全部预定一空，目前下单邮寄需等待3-4周时间，苹果新机吸引力依 ​​​,favor
4-1,comment1,今年是最难抢的一次，半个小时进不去，要不然就别写这种挣流量的文章，要写就实事求是。,favor
4-1-1,comment2,翻了一下评论，大量的都是半小时抢不到，是苹果崩了还是通稿啊,none
4-1-2,comment2,本身第一第二批货就少，而且钛金属据说前期跌落测试不太好，所以货少，买首批和第二批的别摔了，变形苹果可不管，哈哈,against
4-1-7,comment2,淘宝官方店不用抢啊,none
4-1-7-1,comment3,淘宝官方和京东有24期免息吗？？？你以为我们为什么要在官网抢？？？官网除了优惠券，哪哪都强于其他平台,favor
4-3,comment1,随便你们吹牛逼，反正我不买苹果手机，要买就买烟台苹果,against
4-3-1,comment2,你爱买什么就买什么，你个显眼包,favor
4-3-1-1,comment3,你个显眼包，我说话关你啥事？,none
4-4,comment1,没抢到，去年还抢到了最抢手的紫色pro。都说没人买苹果了，但今年比去年难抢,favor
4-4-1,comment2,你要什么型号？？？pro还是pm，我有多余的，本来给我家人预约抢的，后面和我说不要,none
4-5,comment1,虽然没抢到首批 买到了10月10-17号发货,favor
4-5-1,comment2,请问一下，多久内抢到算首发呢,none
